gender_h4,age_band_h4,물품중분류,구매금액
F,30s,논지엠오유정란,98751709
F,30s,멥쌀,79354875
F,30s,추출/농축액,71695921
F,30s,돼지(중량),55910557
F,30s,두부,53923133
F,40s,논지엠오유정란,96985200
F,40s,추출/농축액,76214628
F,40s,멥쌀,66936497
F,40s,한우,62496036
F,40s,돼지(중량),61776490
F,50s,논지엠오유정란,52036405
F,50s,한우,46548505
F,50s,멥쌀,41406824
F,50s,두부,30803833
F,50s,추출/농축액,30351552
F,60+,논지엠오유정란,37296959
F,60+,한우,30940259
F,60+,멥쌀,26693579
F,60+,두부,23913381
F,60+,사과,20428861
F,<30,멥쌀,17062180
F,<30,논지엠오유정란,16777125
F,<30,스낵,16181684
F,<30,과즙,16060612
F,<30,추출/농축액,13715388
M,30s,논지엠오유정란,5023339
M,30s,멥쌀,4379601
M,30s,과즙,3355576
M,30s,우유/산양유,3258820
M,30s,스낵,3255326
M,40s,논지엠오유정란,5134538
M,40s,멥쌀,2872947
M,40s,두부,2753991
M,40s,한우,2650708
M,40s,추출/농축액,2549225
M,50s,논지엠오유정란,2692067
M,50s,한우,1857562
M,50s,두부,1850183
M,50s,멥쌀,1817155
M,50s,우유/산양유,1560433
M,60+,논지엠오유정란,5057134
M,60+,유기한우,4931723
M,60+,추출/농축액,3536012
M,60+,두부,2552694
M,60+,스낵,2416863
M,<30,추출/농축액,4495170
M,<30,우유/산양유,2508905
M,<30,스낵,2451961
M,<30,두부,2233327
M,<30,논지엠오유정란,2158295
Unknown,30s,햄/소시지/훈제,19144
