회원번호,recency_days,구독자_상태,frequency,monetary,aov,regularity_cv,age_band_h4,gender_h4,region_tier,가격구간
922081216,288,이탈위험(90일+),1,239494,239494.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q4_고가
430183680,288,이탈위험(90일+),1,34931,34931.0,0.8033725722674212,40s,F,Tier1_새벽배송가능권(가정),Q3
470358656,286,이탈위험(90일+),1,23356,23356.0,0.8033725722674212,50s,F,Tier2_익일배송표준권(가정),Q2
1549524288,285,이탈위험(90일+),1,36966,36966.0,0.8033725722674212,<30,F,Tier3_배송취약권(가정),Q3
94050944,284,이탈위험(90일+),1,56284,56284.0,0.8033725722674212,60+,F,Tier3_배송취약권(가정),Q4_고가
578672960,283,이탈위험(90일+),1,3829,3829.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q1_저가
1529798720,283,이탈위험(90일+),1,26037,26037.0,0.8033725722674212,<30,F,Tier3_배송취약권(가정),Q2
1392046400,282,이탈위험(90일+),1,21442,21442.0,0.8033725722674212,<30,F,Tier2_익일배송표준권(가정),Q2
1373465984,282,이탈위험(90일+),1,45180,45180.0,0.8033725722674212,40s,F,Tier3_배송취약권(가정),Q3
1101684480,282,이탈위험(90일+),1,31205,31205.0,0.8033725722674212,<30,F,Tier1_새벽배송가능권(가정),Q3
53372992,281,이탈위험(90일+),1,51210,51210.0,0.8033725722674212,40s,F,Tier1_새벽배송가능권(가정),Q4_고가
764330496,281,이탈위험(90일+),1,11678,11678.0,0.8033725722674212,30s,F,Tier3_배송취약권(가정),Q1_저가
159358016,281,이탈위험(90일+),1,3829,3829.0,0.8033725722674212,50s,F,Tier3_배송취약권(가정),Q1_저가
673739136,279,이탈위험(90일+),1,45180,45180.0,0.8033725722674212,50s,F,Tier3_배송취약권(가정),Q3
67367232,278,이탈위험(90일+),1,16273,16273.0,0.8033725722674212,60+,F,Tier1_새벽배송가능권(가정),Q1_저가
701833408,277,이탈위험(90일+),1,18378,18378.0,0.8033725722674212,40s,F,Tier3_배송취약권(가정),Q1_저가
1238024384,276,이탈위험(90일+),1,18378,18378.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q1_저가
1095650624,276,이탈위험(90일+),1,23356,23356.0,0.8033725722674212,<30,F,Tier2_익일배송표준권(가정),Q2
664965824,276,이탈위험(90일+),1,76768,76768.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q4_고가
383921024,275,이탈위험(90일+),1,13018,13018.0,0.8033725722674212,40s,F,Tier3_배송취약권(가정),Q1_저가
200349632,275,이탈위험(90일+),1,48052,48052.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q4_고가
1537812928,275,이탈위험(90일+),1,29387,29387.0,0.8033725722674212,50s,F,Tier3_배송취약권(가정),Q2
478977920,274,이탈위험(90일+),1,39246,39246.0,0.8033725722674212,50s,F,Tier3_배송취약권(가정),Q3
117564608,274,이탈위험(90일+),1,28716,28716.0,0.8033725722674212,60+,F,Tier1_새벽배송가능권(가정),Q2
