회원번호,가격구간,uplift_logit,uplift_rf,double_verified,single_verified,revenue_risk_flag,targeting_tier,age_band_h4,gender_h4,region_tier,frequency,monetary,recency_days
1274589440,Q1_저가,0.1387348095967885,0.20005245360285,True,False,False,Tier1_최우선,50s,M,Tier3_배송취약권(가정),12,120414,9
349423552,Q4_고가,0.1196494623830232,0.1734083451445168,True,False,False,Tier1_최우선,40s,M,Tier1_새벽배송가능권(가정),14,1209238,3
77901888,Q3,0.03045771145011,0.156997184233763,True,False,False,Tier1_최우선,40s,F,Tier3_배송취약권(가정),15,505394,12
753368960,Q4_고가,0.0406188980849019,0.1566988459667151,True,False,False,Tier1_최우선,30s,F,Tier3_배송취약권(가정),15,2213826,2
588862400,Q3,0.0346887802913243,0.1532571868431965,True,False,False,Tier1_최우선,30s,F,Tier3_배송취약권(가정),15,491236,9
765330880,Q4_고가,0.0463088636915665,0.1522829842930664,True,False,False,Tier1_최우선,50s,F,Tier2_익일배송표준권(가정),14,1007463,2
567939712,Q4_고가,0.0502024287000429,0.1515655577236048,True,False,False,Tier1_최우선,30s,F,Tier2_익일배송표준권(가정),15,832825,1
202107264,Q4_고가,0.0356527979789857,0.1485865831336316,True,False,False,Tier1_최우선,30s,F,Tier3_배송취약권(가정),14,973288,6
743385536,Q2,0.0450114706184081,0.1473459721645169,True,False,False,Tier1_최우선,40s,F,Tier3_배송취약권(가정),15,422472,4
618272576,Q1_저가,0.1358456599078008,0.1461094378576773,True,False,False,Tier1_최우선,60+,M,Tier2_익일배송표준권(가정),12,146358,11
782075712,Q4_고가,0.0774449425877013,0.1447994309248073,True,False,False,Tier1_최우선,50s,M,Tier3_배송취약권(가정),29,2081932,40
396194752,Q2,0.051820685293012,0.1422563975201889,True,False,False,Tier1_최우선,30s,F,Tier3_배송취약권(가정),14,414908,2
610607296,Q4_고가,0.0426898048968282,0.1416696756894941,True,False,False,Tier1_최우선,50s,F,Tier3_배송취약권(가정),14,1050438,3
1451401280,Q4_고가,0.0376235184847191,0.1402018550611613,True,False,False,Tier1_최우선,50s,F,Tier3_배송취약권(가정),14,1482809,4
1063656896,Q1_저가,0.0635779643858822,0.1393748206182983,True,False,False,Tier1_최우선,<30,F,Tier3_배송취약권(가정),14,250405,0
80080832,Q4_고가,0.0326234484418048,0.1392260778588697,True,False,False,Tier1_최우선,50s,F,Tier3_배송취약권(가정),12,664594,9
198087168,Q3,0.0327266846140368,0.1387994027137347,True,False,False,Tier1_최우선,30s,F,Tier2_익일배송표준권(가정),14,436442,11
767782656,Q3,0.0279249314898348,0.1386983292173065,True,False,False,Tier1_최우선,30s,F,Tier3_배송취약권(가정),13,586104,13
1391075712,Q1_저가,0.0270372939073775,0.1374414578374951,True,False,False,Tier1_최우선,<30,F,Tier3_배송취약권(가정),13,236644,20
1456948864,Q3,0.1259481158168984,0.1370558420715313,True,False,False,Tier1_최우선,<30,M,Tier1_새벽배송가능권(가정),12,482910,13
1544977088,Q1_저가,0.0375593002919778,0.1364869273905564,True,False,False,Tier1_최우선,<30,F,Tier2_익일배송표준권(가정),12,209627,11
1489113344,Q3,0.0483436445133524,0.135640083011763,True,False,False,Tier1_최우선,40s,F,Tier3_배송취약권(가정),14,431511,3
749682944,Q3,0.0294516074976459,0.1356052475164897,True,False,False,Tier1_최우선,30s,F,Tier3_배송취약권(가정),12,541110,12
