월,n,교호항(%),CI_low(%),CI_high(%),p값
1,36116,-4.823915456541039,-13.494058526953323,4.715201230959032,0.3103200173958805
2,47167,-1.9141946791662923,-8.793787865607738,5.484319327506038,0.6024143435898134
3,54146,-3.4953619956878845,-9.682830479945814,3.1159989383349185,0.2926231814841199
4,51326,-4.304590816233511,-11.798641229514917,3.8261934567035416,0.29027048530347005
5,51536,-0.8605063656676459,-11.623692522213636,11.21350821929601,0.8828223492336278
6,52247,-4.33440183245517,-10.722449939616963,2.510728246510441,0.2088578919201996
7,56559,-0.18717771596015176,-5.794101817808162,5.753457952684715,0.9493554731908905
8,54950,-6.320125026712353,-11.443653914911467,-0.9001685031296947,0.0229026326141774
9,53348,-5.81214645990692,-12.581577388521325,1.4814897074698852,0.1155982473326242
10,45973,6.318312412284377,-4.988424323761853,18.9705935697166,0.28552481549420267
11,16897,-17.382731433285326,-36.465338938086475,7.431328842270979,0.15413978052828392
