회원번호,가격구간,treatment_h4,uplift_revenue_enet,uplift_revenue_rf
18764160,Q4_고가,0.0,-4609.943648194167,-1327.3023998143544
18792000,Q1_저가,0.0,-500.80159863597146,-276.86881713428284
18942336,Q4_고가,0.0,-22131.302730541385,-33077.38964968292
18949760,Q3,,5294.541090740775,883.0588295352954
19391488,Q1_저가,0.0,-4623.395485053163,-454.0640479369099
19627200,Q4_고가,0.0,-5843.7447197193105,41792.59438697953
19727424,Q4_고가,0.0,-2338.3232096196443,4890.581298333185
19996544,Q4_고가,0.0,-3988.945181590694,49304.88253651443
20235968,Q3,,-828.9530300628903,-1575.134687492693
20258240,Q1_저가,0.0,2677.4335437369627,-502.3305078836195
20588608,Q4_고가,0.0,-70286.63083294535,-120549.52001938678
20636864,Q3,0.0,-242.29327171729528,-2535.6500632540265
21134272,Q2,0.0,1549.5606722163866,152.57793805570327
21457216,Q1_저가,0.0,3386.880838683861,1156.4504316508674
21982464,Q1_저가,,-7675.734090491489,1661.0262684281952
22112384,Q2,0.0,-1521.8315592618128,-415.2555528502494
22259008,Q3,,7740.817574752331,4730.390694916838
22270144,Q3,0.0,-63323.17216162942,15392.205110295268
22990272,Q3,0.0,7076.930034881589,18502.948250063204
23437568,Q2,,9610.983274253209,18536.95275215926
23485824,Q2,0.0,-2084.718150706871,-1297.9388219440898
23573056,Q1_저가,,7090.667835552926,3132.4139878254377
24098304,Q1_저가,1.0,2422.0367861192462,1872.5160303935645
24883392,Q4_고가,0.0,-4070.8022889900603,-39895.0011206909
25145088,Q4_고가,0.0,-3845.2858547188516,-4565.001806928371
26110208,Q3,0.0,5106.560732071292,837.7666033631349
26355200,Q2,,-1502.8992942356126,-21083.437271966017
26676288,Q3,0.0,10382.574701859492,3704.816956896654
27021504,Q1_저가,0.0,1505.682783401182,-299.23454355655963
27066048,Q3,0.0,5968.443618842073,1722.9749878460643
27210816,Q1_저가,0.0,6484.702070513002,1284.2817902548777
27387136,Q3,0.0,4744.152626879819,3284.0342483879576
28394944,Q3,1.0,4386.2917481662735,9120.444345410098
28871936,Q2,0.0,8783.31290526667,2196.190671953189
29658880,Q3,0.0,530.4253921687377,-717.2687904245909
29868608,Q1_저가,0.0,-6655.5261971509135,2501.5589839455306
30215680,Q1_저가,,-6313.694238095501,5374.750956373176
31691200,Q2,0.0,-1595.4170123364893,-14094.52626619023
37188672,Q4_고가,0.0,-8159.187327093576,-21382.503492375996
37253632,Q2,0.0,-201.32951986456828,-270.1828203073635
37314880,Q3,0.0,3448.597117463225,-483.95757948499977
37415104,Q4_고가,,-4764.1016052656705,-5008.455664291176
37584000,Q3,0.0,7831.049769085643,-19375.978923066577
38270720,Q2,0.0,-4088.6458073629765,2176.2374875843793
38588096,Q4_고가,1.0,-989.4745143249165,-87079.28328540333
38593664,Q4_고가,,-1671.0411463019373,-89.1884132090031
38808960,Q4_고가,0.0,-7637.951528892081,59140.8993100418
38842368,Q2,0.0,151.20191532818717,17526.16525580856
38859072,Q1_저가,0.0,3212.7750940475235,391.04824043677945
38862784,Q3,0.0,4666.594693790059,16648.381043072615
38866496,Q1_저가,,4612.104013997425,2865.9956204299015
38903616,Q3,0.0,-14709.738511737683,-892.9865254108554
38918464,Q3,1.0,-3300.076827362267,30930.228186736495
38933312,Q3,0.0,5441.6435718715875,-7533.581795089081
38955584,Q4_고가,0.0,4971.607725125352,-2215.3157834770027
38959296,Q2,0.0,-68908.41230291239,38220.96802767023
38968576,Q2,0.0,6855.1048951778175,-1276.138542438242
39053952,Q4_고가,,-2316.504567870448,24351.387596551227
39284096,Q3,0.0,8304.451024352176,-463.10568730998534
39287808,Q4_고가,0.0,-1493.2845016610972,2136.0165853469634
39376896,Q4_고가,0.0,-110.28782024307293,-453.5130344701947
39382464,Q4_고가,0.0,-7160.441665020131,-221936.65938030177
39547648,Q1_저가,,-1391.9893711995355,2692.6797925976343
39640448,Q3,,5509.027272597392,-357.26927646623517
39653440,Q2,0.0,375.5241694573924,6797.92365114612
39820480,Q2,1.0,6261.546053889164,14190.641024031029
39955968,Q3,0.0,3049.2094818978003,2192.137472344794
40124864,Q4_고가,0.0,-903.1856055039607,231.58612908008308
40822720,Q2,0.0,-349.7630078291804,574.9651788729225
40898816,Q1_저가,0.0,7758.284413584723,2712.89660509816
40969344,Q2,0.0,-5266.809800579005,-673.5522727820594
41104832,Q4_고가,0.0,-3954.42957467986,38419.31270227136
41307136,Q1_저가,0.0,4574.563363225414,1442.0487517909296
41396224,Q1_저가,0.0,-500.02070937853205,-241.2903737615236
41600384,Q4_고가,0.0,-7887.475843726468,-23690.169663828754
41739584,Q2,1.0,-8380.91249806299,-349.4446281416763
41754432,Q4_고가,1.0,-7609.128144593662,86327.56087496816
42058816,Q4_고가,0.0,3826.1841554167477,-8356.460371598288
42097792,Q3,0.0,11337.964232063783,-498.26678317125425
42140480,Q4_고가,0.0,602.6381428095483,-5015.91432703421
42307520,Q2,0.0,-10.719461013686669,7632.349825252393
42402176,Q3,0.0,12287.157100075936,10598.530840587391
42474560,Q3,,-740.4000169837382,47304.19177018554
42955264,Q4_고가,0.0,-2692.449276524174,1283.0616795301394
