회원번호,frequency,monetary,가격구간,region_tier,age_gender_segment,treatment_h4,future_is_vip,vip_conversion_score_logit,vip_conversion_score_rf
1303995904,13,705041,Q4_고가,Tier3_배송취약권(가정),30s_F,,1,0.8301478805069378,0.9064918720929143
248611200,15,727671,Q4_고가,Tier2_익일배송표준권(가정),40s_F,0.0,1,0.8856246815037678,0.9004940902162698
761596608,9,500079,Q4_고가,Tier3_배송취약권(가정),30s_F,0.0,1,0.8436127393640391,0.8954949517052608
763213184,11,609449,Q4_고가,Tier3_배송취약권(가정),40s_F,,1,0.7884032563194647,0.8883791706187583
69950784,14,718127,Q4_고가,Tier2_익일배송표준권(가정),40s_F,0.0,0,0.8769657268822264,0.8862355952369022
56646976,18,651574,Q3,Tier3_배송취약권(가정),50s_F,,1,0.9093912845985207,0.883801900953656
1289387328,14,690063,Q4_고가,Tier3_배송취약권(가정),30s_F,0.0,1,0.7740716364112266,0.8817322471994893
50798720,9,728436,Q4_고가,Tier2_익일배송표준권(가정),40s_F,0.0,1,0.8136194291667477,0.8808658577117761
748907136,11,651666,Q4_고가,Tier3_배송취약권(가정),60+_F,,0,0.8941057618005043,0.8798414959529027
393733696,15,703294,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,0,0.7791893307774929,0.8739863245930628
117239808,27,672534,Q2,Tier3_배송취약권(가정),60+_F,,1,0.8594448619417251,0.8715723968917947
941793792,16,704545,Q3,Tier3_배송취약권(가정),40s_F,0.0,1,0.799825921508107,0.8709129367003365
268323776,20,486547,Q2,Tier2_익일배송표준권(가정),30s_F,,1,0.8032538677551357,0.8694223711043404
254585664,10,552980,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,0,0.7426080724949866,0.8691593380567791
56570880,16,506362,Q3,Tier3_배송취약권(가정),50s_F,1.0,1,0.7938743449856209,0.8680357138943126
238622208,9,680860,Q4_고가,Tier2_익일배송표준권(가정),40s_F,1.0,0,0.8420251126585202,0.8680052896609715
1345937792,15,676284,Q3,Tier3_배송취약권(가정),40s_F,,1,0.8091605382238947,0.8675842410026857
768976064,23,564524,Q2,Tier2_익일배송표준권(가정),30s_F,1.0,0,0.792895026237954,0.8668880046160866
771448256,15,738199,Q4_고가,Tier2_익일배송표준권(가정),30s_F,0.0,1,0.855971432399942,0.8664642604901139
527770304,12,658751,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,1.0,1,0.8818120580509461,0.8658034358471366
152184576,13,685790,Q4_고가,Tier3_배송취약권(가정),30s_F,0.0,0,0.8170554856971597,0.8647115521457315
809568640,19,698756,Q3,Tier2_익일배송표준권(가정),40s_F,0.0,0,0.8808496052049655,0.8642135957707262
832722240,13,646499,Q4_고가,Tier3_배송취약권(가정),30s_F,0.0,0,0.7368154108192153,0.864106198665256
42955264,10,689190,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,1,0.7903385853632299,0.862963022687727
972842816,20,477455,Q2,Tier3_배송취약권(가정),50s_F,0.0,1,0.7719754645971725,0.8627642092582459
185432960,14,689575,Q4_고가,Tier2_익일배송표준권(가정),40s_F,0.0,0,0.692393068831285,0.8622628837159847
1199777792,22,550008,Q2,Tier2_익일배송표준권(가정),30s_F,0.0,0,0.7542476451842419,0.8619542634487057
362929664,9,617014,Q4_고가,Tier2_익일배송표준권(가정),50s_M,0.0,0,0.8264548690314482,0.861749372610541
206190464,17,530385,Q3,Tier1_새벽배송가능권(가정),50s_F,,1,0.8471422687631899,0.8609796280690973
646081024,17,549436,Q3,Tier2_익일배송표준권(가정),60+_F,0.0,0,0.8417107395007354,0.8607870313448841
761865728,13,456218,Q3,Tier1_새벽배송가능권(가정),40s_F,1.0,1,0.8174300980945124,0.8605538903628479
231498880,27,673166,Q2,Tier3_배송취약권(가정),60+_F,0.0,1,0.8012076486190637,0.859123359107906
249572608,12,647266,Q4_고가,Tier2_익일배송표준권(가정),30s_F,0.0,0,0.6704849029431988,0.8585497778664084
676382080,11,610505,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,0,0.6903917113471483,0.8583337093092592
1026846848,14,689226,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,0,0.8931929740447593,0.8576814567486563
233588736,14,731404,Q4_고가,Tier3_배송취약권(가정),30s_F,,0,0.8488012956816217,0.8575517337257307
360450048,9,637789,Q4_고가,Tier2_익일배송표준권(가정),60+_F,0.0,0,0.8264744625004813,0.8569580044443295
853101120,16,665931,Q3,Tier1_새벽배송가능권(가정),30s_F,0.0,1,0.7606091609524287,0.8562456642586815
263052736,9,451325,Q4_고가,Tier2_익일배송표준권(가정),30s_F,,1,0.6955524605488381,0.8562157649147595
52953536,16,696598,Q3,Tier3_배송취약권(가정),50s_F,0.0,1,0.7647507276131147,0.8560326562698322
79473920,14,671002,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,0,0.7610152461820748,0.8558612308560722
409455872,10,515744,Q4_고가,Tier1_새벽배송가능권(가정),50s_F,0.0,0,0.9172974164998374,0.855559074333314
567939712,10,548154,Q4_고가,Tier2_익일배송표준권(가정),30s_F,0.0,1,0.6587096830289969,0.8536449958221226
1210830272,19,716087,Q3,Tier1_새벽배송가능권(가정),50s_F,,1,0.7735371357024335,0.8532733608052523
543058176,17,441653,Q2,Tier2_익일배송표준권(가정),50s_F,1.0,1,0.8905153210664116,0.8527847465197224
418481600,11,717375,Q4_고가,Tier2_익일배송표준권(가정),50s_F,0.0,0,0.9340101622543774,0.8515018339201973
884163136,20,546854,Q2,Tier1_새벽배송가능권(가정),50s_F,0.0,1,0.9016131568369125,0.8501132039617774
1507443200,12,661815,Q4_고가,Tier2_익일배송표준권(가정),40s_F,,0,0.8104703612489523,0.8495894702006878
739343168,17,564655,Q3,Tier2_익일배송표준권(가정),30s_F,0.0,1,0.7291715531850789,0.8479857859308576
770301248,10,647934,Q4_고가,Tier2_익일배송표준권(가정),30s_F,0.0,0,0.8192923624642477,0.8479271473969707
71465280,10,645764,Q4_고가,Tier2_익일배송표준권(가정),60+_F,0.0,1,0.7113951466773758,0.8476581874096142
1527098240,11,517850,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,0,0.7794956597724445,0.8474122230474491
62012672,14,696177,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,0,0.7825389408957238,0.847227883152817
238379072,9,433329,Q4_고가,Tier2_익일배송표준권(가정),40s_F,0.0,1,0.647361066154225,0.8469527791714335
213603328,12,567066,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,1,0.8993287964708915,0.8467639652589933
447960448,11,593660,Q4_고가,Tier3_배송취약권(가정),40s_F,0.0,0,0.8885317580425127,0.8464154634716321
104800896,22,581694,Q2,Tier3_배송취약권(가정),50s_F,1.0,0,0.8066730939945977,0.8461188794445347
1529358848,12,691888,Q4_고가,Tier2_익일배송표준권(가정),50s_F,0.0,0,0.8060023468766191,0.8452162416859231
597943808,12,565016,Q4_고가,Tier3_배송취약권(가정),50s_F,0.0,0,0.7888522833547487,0.8449657058247445
471654144,19,663731,Q3,Tier3_배송취약권(가정),40s_F,,1,0.7712472658713482,0.8449091144717028
262950656,21,506720,Q2,Tier3_배송취약권(가정),30s_F,,1,0.6977445837303855,0.8448820901799019
1469007296,9,607440,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,1.0,0,0.7421474748338167,0.8447638139936422
201953216,13,585154,Q3,Tier2_익일배송표준권(가정),30s_F,,0,0.9076647020598035,0.8440472574768725
1241402304,10,505979,Q4_고가,Tier1_새벽배송가능권(가정),50s_F,0.0,0,0.8481910185991933,0.8433691748452348
1263477568,21,533158,Q2,Tier3_배송취약권(가정),30s_M,0.0,1,0.7484780788344771,0.8432134732268292
323545344,14,473293,Q3,Tier2_익일배송표준권(가정),60+_F,0.0,1,0.8190019934371994,0.8420935545604524
307934528,20,738389,Q3,Tier3_배송취약권(가정),30s_F,,1,0.7587574825590346,0.8417607559685609
138474304,16,728149,Q3,Tier2_익일배송표준권(가정),40s_F,1.0,0,0.8346911080258873,0.8416321773777657
686955712,9,715418,Q4_고가,Tier2_익일배송표준권(가정),60+_M,0.0,0,0.8527643363847401,0.841296248553391
330780032,9,694648,Q4_고가,Tier3_배송취약권(가정),50s_F,1.0,0,0.7772714277616584,0.8405547384583207
491511488,12,621485,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,0,0.7392443823632662,0.8385424450470684
365765632,23,682216,Q2,Tier1_새벽배송가능권(가정),40s_F,1.0,1,0.8842573973762489,0.838196051914262
1374846848,13,700963,Q4_고가,Tier3_배송취약권(가정),40s_M,0.0,0,0.7831572418387521,0.838138106679353
1136232064,15,669472,Q3,Tier2_익일배송표준권(가정),30s_M,0.0,1,0.6915391972165261,0.8378520671810255
1577587008,9,555947,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,1.0,1,0.7971842675268644,0.836820170987864
1282141504,8,563032,Q4_고가,Tier3_배송취약권(가정),30s_F,1.0,0,0.7848144778189498,0.8357678002686265
619282240,27,665352,Q2,Tier2_익일배송표준권(가정),40s_F,0.0,1,0.8801778533653571,0.8333579666347143
313541504,23,641856,Q2,Tier2_익일배송표준권(가정),60+_M,,0,0.9130639309243467,0.8328210018675232
1555882944,9,547523,Q4_고가,Tier1_새벽배송가능권(가정),50s_F,1.0,0,0.7113103955685107,0.8323088507571953
663824384,15,694567,Q3,Tier1_새벽배송가능권(가정),50s_F,,0,0.7762163246905888,0.8320227291908507
865801728,9,524262,Q4_고가,Tier1_새벽배송가능권(가정),40s_F,0.0,1,0.6360785417044749,0.8314634477731344
478033216,16,573225,Q3,Tier2_익일배송표준권(가정),60+_F,,0,0.8997738905988073,0.8313334137264543
179980032,12,637500,Q4_고가,Tier1_새벽배송가능권(가정),40s_F,0.0,1,0.6547062119334881,0.8310444911332968
