회원번호,R,F,M,rfm_segment
18764160,3,4,5,2.충성고객
18792000,1,1,1,5.휴면고객
18942336,5,4,5,1.최우수고객
19391488,2,1,1,5.휴면고객
19627200,5,5,5,1.최우수고객
19727424,4,3,5,6.일반고객
19996544,5,5,5,1.최우수고객
20235968,4,3,3,6.일반고객
20258240,2,1,1,5.휴면고객
20588608,5,5,5,1.최우수고객
20636864,5,5,5,1.최우수고객
21134272,2,3,3,4.이탈위험고객
21982464,4,5,4,1.최우수고객
22112384,2,1,1,5.휴면고객
22259008,3,3,3,6.일반고객
22270144,5,5,5,1.최우수고객
22990272,5,4,4,1.최우수고객
23437568,4,4,4,1.최우수고객
23485824,2,3,3,4.이탈위험고객
23573056,3,1,1,6.일반고객
24883392,5,5,5,1.최우수고객
25145088,1,3,4,4.이탈위험고객
26355200,4,5,5,1.최우수고객
26676288,4,3,3,6.일반고객
27021504,1,1,1,5.휴면고객
27066048,3,4,4,2.충성고객
27387136,3,4,4,2.충성고객
28394944,4,5,5,1.최우수고객
28871936,4,3,3,6.일반고객
29658880,1,1,2,5.휴면고객
29868608,1,2,2,5.휴면고객
30215680,4,4,2,6.일반고객
31691200,4,5,5,1.최우수고객
37188672,4,5,5,1.최우수고객
37253632,1,1,1,5.휴면고객
37314880,1,1,1,5.휴면고객
37415104,3,2,3,6.일반고객
37584000,5,5,5,1.최우수고객
38270720,3,2,2,6.일반고객
38588096,5,5,5,1.최우수고객
38593664,1,1,2,5.휴면고객
38808960,4,5,5,1.최우수고객
38842368,5,4,4,1.최우수고객
38859072,2,2,2,5.휴면고객
38862784,5,4,5,1.최우수고객
38866496,3,1,1,6.일반고객
38903616,2,4,4,2.충성고객
38918464,5,5,5,1.최우수고객
38933312,3,3,3,6.일반고객
38955584,5,3,4,6.일반고객
38959296,5,5,5,1.최우수고객
38968576,2,3,3,4.이탈위험고객
39053952,4,4,5,1.최우수고객
39284096,2,1,1,5.휴면고객
39287808,3,1,3,6.일반고객
39376896,1,2,3,5.휴면고객
39382464,5,5,5,1.최우수고객
39547648,4,1,1,3.신규유망고객
