cohort_month,0,1,2,3,4,5,6,7,8,9,10
2025-01,100.0,76.1,77.3,75.9,73.7,72.5,72.2,70.3,72.5,68.8,
2025-02,100.0,49.1,45.2,45.4,45.3,43.1,42.0,45.9,42.1,,0.0
2025-03,100.0,37.6,35.4,34.1,34.3,31.5,34.5,33.4,,0.0,0.0
2025-04,100.0,34.3,32.5,28.9,25.7,29.3,27.2,,0.0,0.0,0.0
2025-05,100.0,29.9,28.7,23.8,25.8,24.1,,0.0,0.0,0.0,0.0
2025-06,100.0,30.1,27.3,23.1,23.6,,0.0,0.0,0.0,0.0,0.0
2025-07,100.0,25.0,22.8,20.3,,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,100.0,24.5,24.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,100.0,25.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
