주소지_정규화,회원수,총매출,주문건수,AOV,회원당매출,매출비중(%)
경기도,2288,1370393026,114765,11941.0,598948.0,18.3
서울특별시,1473,880242671,75938,11592.0,597585.0,11.7
부산광역시,1393,863153790,74001,11664.0,619637.0,11.5
경상남도,1301,767440982,64719,11858.0,589885.0,10.2
경상북도,799,431122336,37001,11652.0,539577.0,5.7
대구광역시,650,424282921,36179,11727.0,652743.0,5.7
강원도,595,353546015,29701,11904.0,594195.0,4.7
충청남도,573,336939537,27828,12108.0,588027.0,4.5
전라북도,487,325061419,28291,11490.0,667477.0,4.3
충청북도,526,309460219,26162,11829.0,588327.0,4.1
인천광역시,520,294396496,24950,11799.0,566147.0,3.9
대전광역시,487,290397079,24969,11630.0,596298.0,3.9
울산광역시,417,264831807,22220,11919.0,635088.0,3.5
전라남도,359,227309122,18965,11986.0,633173.0,3.0
광주광역시,391,213091724,18596,11459.0,544992.0,2.8
제주특별자치도,126,82149524,6556,12530.0,651980.0,1.1
세종특별자치시,111,73944416,6518,11345.0,666166.0,1.0
