회원번호,age_gender_segment,treatment_h4,p_control,p_treated,uplift
18764160,60+_F,0.0,0.5945582102179084,0.5770592205053439,-0.017498989712564583
18792000,60+_M,0.0,0.06724354687001967,0.09095468101999128,0.023711134149971613
18942336,30s_F,0.0,0.5740595662650461,0.5972200613922645,0.023160495127218406
18949760,60+_F,,0.14736250716176533,0.17449996761144482,0.02713746044967949
19391488,50s_F,0.0,0.06180844153300855,0.10550092462575252,0.04369248309274396
19627200,40s_F,0.0,0.89944706787442,0.9182296482546423,0.01878258038022229
19727424,50s_F,0.0,0.6515588660794784,0.6781043299534284,0.02654546387394996
19996544,40s_F,0.0,0.6895197157895049,0.7044488155647677,0.0149290997752628
20235968,50s_F,,0.5290034128759605,0.44416484687627766,-0.08483856599968287
20258240,40s_F,0.0,0.07868600801332044,0.10078521421412931,0.022099206200808866
20588608,40s_F,0.0,0.9234541644091411,0.8967294434486434,-0.026724720960497717
20636864,50s_F,0.0,0.8781995667486753,0.8890415153907125,0.010841948642037247
21134272,40s_F,0.0,0.24358232767365917,0.24956339355899693,0.005981065885337755
21457216,40s_F,0.0,0.1134206295578317,0.15193093936247876,0.03851030980464705
21982464,40s_F,,0.7092017324680836,0.643847427126903,-0.06535430534118059
22112384,50s_F,0.0,0.08824121329959278,0.09264334968944246,0.004402136389849681
22259008,40s_F,,0.3391432767442536,0.326360360399675,-0.012782916344578621
22270144,40s_F,0.0,0.9379451616052445,0.898290239900316,-0.03965492170492857
22990272,60+_F,0.0,0.5954661450319171,0.570733711781923,-0.02473243324999408
23437568,40s_F,,0.7639588003631771,0.7510733241258954,-0.012885476237281646
23485824,40s_F,0.0,0.18373620473158103,0.20358526781042915,0.019849063078848123
23573056,40s_F,,0.0874422995694174,0.13545970778206567,0.04801740821264827
24098304,50s_F,1.0,0.097207093369513,0.16020878462090052,0.06300169125138752
24883392,60+_F,0.0,0.8990077822846564,0.91447182471558,0.015464042430923586
25145088,40s_F,0.0,0.23348537999535457,0.25171591287696177,0.018230532881607198
26110208,30s_F,0.0,0.1505159542533904,0.20422848635738966,0.05371253210399926
26355200,60+_F,,0.9000884088511119,0.8982683547818534,-0.0018200540692584477
26676288,30s_F,0.0,0.22855189032887563,0.23690801752772725,0.00835612719885162
27021504,40s_F,0.0,0.09773980726591171,0.13986365710024556,0.04212384983433386
27066048,40s_F,0.0,0.723049473538056,0.762514756677155,0.03946528313909892
27210816,40s_F,0.0,0.12315759052760109,0.15895084513077432,0.03579325460317323
27387136,40s_F,0.0,0.5918185453327338,0.5218337056908422,-0.06998483964189162
28394944,40s_F,1.0,0.8611408719110573,0.9129086927742032,0.05176782086314591
28871936,40s_F,0.0,0.3059814403573129,0.2948934099423913,-0.011088030414921568
29658880,60+_F,0.0,0.06727284187054738,0.08488648079347126,0.017613638922923877
29868608,50s_F,0.0,0.21650081382695113,0.2418890127373487,0.025388198910397564
30215680,40s_F,,0.5485318880341558,0.506466122892685,-0.04206576514147076
31691200,30s_F,0.0,0.8495979841961698,0.8740044380545391,0.02440645385836926
37188672,50s_F,0.0,0.8161023907582461,0.8854711312200362,0.06936874046179009
37253632,40s_F,0.0,0.08329956355724039,0.089920011654032,0.006620448096791617
37314880,60+_F,0.0,0.06559433747310182,0.08874958772129161,0.02315525024818979
37415104,40s_F,,0.28393891995998105,0.2502580439136564,-0.03368087604632464
37584000,40s_F,0.0,0.8932852123623618,0.900962254191881,0.007677041829519227
38270720,60+_F,0.0,0.12342941527518889,0.14364005845236927,0.020210643177180382
38588096,40s_F,1.0,0.9046137996464131,0.9074490678811817,0.002835268234768651
38593664,40s_F,,0.0717829848647251,0.08461899036398979,0.012836005499264683
38808960,60+_F,0.0,0.7960201165538854,0.7976123741683411,0.0015922576144556944
38842368,50s_F,0.0,0.7820354624090362,0.8040274669398522,0.021992004530815956
38859072,40s_F,0.0,0.14801093118627623,0.16988131419330355,0.021870383007027316
38862784,60+_F,0.0,0.8132877371143253,0.8645861029032018,0.05129836578887648
38866496,60+_F,,0.11697846035507914,0.16147447284161648,0.04449601248653734
38903616,50s_F,0.0,0.4336710102174073,0.5062345593495051,0.07256354913209784
38918464,50s_F,1.0,0.9088965283602327,0.9102766527504059,0.0013801243901732096
38933312,60+_F,0.0,0.6107607069121194,0.6107561922559919,-4.514656127496686e-06
38955584,50s_F,0.0,0.5436404938184185,0.5315569259162714,-0.012083567902147152
38959296,40s_F,0.0,0.9423518725848993,0.8864295233998456,-0.05592234918505368
38968576,60+_F,0.0,0.2139642320642144,0.18334191655643534,-0.030622315507779052
39053952,50s_F,,0.7474142844571159,0.8155870598865004,0.06817277542938449
39284096,40s_F,0.0,0.0720436526958777,0.09991340441468705,0.027869751718809344
39287808,40s_F,0.0,0.09689987142817989,0.1053933929854844,0.008493521557304512
39376896,40s_F,0.0,0.08781525838596474,0.09638168991045827,0.008566431524493531
39382464,40s_F,0.0,0.8947318525535849,0.9106974668234354,0.015965614269850548
39547648,50s_F,,0.09403556364652492,0.12976646163422917,0.03573089798770425
39640448,30s_F,,0.31097262438181356,0.3100972996589721,-0.000875324722841464
39653440,60+_F,0.0,0.8751419138076533,0.8643967827792848,-0.010745131028368493
39820480,60+_F,1.0,0.8250648975821521,0.85107444787238,0.02600955029022789
39955968,60+_F,0.0,0.10556576297617969,0.16849237870615397,0.06292661572997428
40124864,40s_F,0.0,0.18928448634616768,0.23015332703468652,0.04086884068851884
40822720,40s_F,0.0,0.0835059428985191,0.09495448048349452,0.01144853758497541
40898816,40s_F,0.0,0.09222973529985921,0.16162125123389454,0.06939151593403532
40969344,50s_F,0.0,0.08474468992850426,0.08463032582466001,-0.00011436410384424445
41104832,40s_F,0.0,0.8904381085197602,0.9087444414571647,0.018306332937404468
41307136,40s_F,0.0,0.14090148647140036,0.2157010371665197,0.07479955069511934
41396224,50s_F,0.0,0.06740418873740296,0.11448277715840842,0.04707858842100546
41600384,50s_F,0.0,0.7781242865775639,0.7691187390178028,-0.009005547559761129
41739584,50s_F,1.0,0.10485266445619736,0.09218482045349528,-0.012667844002702072
41754432,60+_F,1.0,0.8798662029017811,0.9125333028335549,0.03266709993177386
42058816,40s_F,0.0,0.6078208233062048,0.6790518011773138,0.07123097787110899
42097792,40s_F,0.0,0.10274937099797839,0.15035377323940657,0.04760440224142819
42140480,30s_F,0.0,0.42025089699204093,0.40135651758209434,-0.018894379409946593
42307520,40s_F,0.0,0.8233146433573052,0.8327125052834456,0.00939786192614045
42402176,40s_F,0.0,0.5560014186854882,0.5883033573482416,0.03230193866275333
42474560,40s_F,,0.907485303966327,0.9101806040573308,0.002695300091003827
42955264,50s_F,0.0,0.5991066869484635,0.7427400918369748,0.14363340488851128
43343168,40s_F,1.0,0.14453153455568082,0.22330420150599967,0.07877266695031884
43426688,40s_F,0.0,0.9197285758755129,0.9231922513964393,0.0034636755209264125
43872128,50s_F,0.0,0.29916881731739,0.32663683993600257,0.027468022618612586
43924096,40s_F,0.0,0.13468770865142463,0.167137592253656,0.03244988360223136
44076288,50s_F,0.0,0.46077272269839886,0.5121075500861089,0.05133482738771
44486464,40s_F,1.0,0.49908005888455603,0.48484947605360296,-0.014230582830953076
44620096,40s_F,0.0,0.4811142312603125,0.4853256659896652,0.004211434729352703
44666496,30s_F,0.0,0.13733398589341847,0.16279367735859965,0.025459691465181178
44844672,40s_F,0.0,0.46716916221827426,0.42066673222377476,-0.046502429994499495
45022848,50s_M,0.0,0.3766752715872417,0.3267196943181508,-0.04995557726909089
45364352,40s_F,0.0,0.509137674574326,0.5428711156451458,0.03373344107081977
45520256,50s_F,0.0,0.42811716555808077,0.3988844235167717,-0.029232742041309046
45932288,40s_F,1.0,0.9039533004529461,0.9169149418883401,0.012961641435394022
46038080,40s_F,0.0,0.11664898179131533,0.142255108670791,0.025606126879475666
46056640,40s_F,0.0,0.08508651441029466,0.13465656244755195,0.049570048037257286
46348032,40s_F,0.0,0.6097022184727152,0.7291020565431188,0.11939983807040355
46487232,40s_F,0.0,0.8280473099051292,0.8591926939104895,0.031145384005360266
46568896,40s_F,0.0,0.8937073317133171,0.9050251897240199,0.011317858010702841
46752640,50s_F,0.0,0.06485775569503874,0.07516620640294701,0.01030845070790827
46995776,40s_F,0.0,0.22785499539629256,0.22435641696205028,-0.003498578434242283
47663936,50s_F,1.0,0.08915168727205076,0.09892045226385231,0.009768764991801543
48088960,40s_F,0.0,0.09311005850441541,0.12045918023403822,0.02734912172962281
48183616,40s_F,0.0,0.07214949564935043,0.10942139024565067,0.037271894596300245
48296832,40s_F,0.0,0.8720852999198304,0.8881305975512376,0.016045297631407163
48398912,50s_F,0.0,0.09962883563633865,0.14207299829222308,0.04244416265588444
48590080,40s_F,0.0,0.10446971590423196,0.13110366068456034,0.026633944780328378
48638336,50s_F,0.0,0.94425823169371,0.9177488769978549,-0.026509354695855136
48859200,30s_M,0.0,0.14699961344598766,0.22103535223169557,0.0740357387857079
49035520,50s_F,0.0,0.1878590390332526,0.21045555901746904,0.02259651998421644
49083776,60+_F,0.0,0.7409396692857071,0.8050694801018773,0.0641298108161702
49178432,60+_M,0.0,0.594095103174115,0.6213042889797716,0.027209185805656677
49742656,30s_F,0.0,0.08558430659629042,0.11486639346747932,0.029282086871188898
50290176,40s_F,0.0,0.09888736864072077,0.13593393406928408,0.03704656542856331
50650240,40s_F,1.0,0.1918368247071688,0.246994807827539,0.05515798312037018
50776448,50s_F,,0.8908543181476616,0.9005965818785578,0.009742263730896261
50793152,60+_F,0.0,0.6249458309609269,0.6751644678276321,0.050218636866705135
50798720,40s_F,0.0,0.6387271903868693,0.6836417479034932,0.044914557516623876
51142080,40s_F,0.0,0.7794621187603863,0.822947739720366,0.043485620959979654
51182912,60+_M,,0.07424702804747038,0.10214241685342708,0.027895388805956697
51184768,50s_M,0.0,0.07488505332402204,0.0943845923051363,0.019499538981114256
51203328,50s_M,0.0,0.07274493454237764,0.09858312267424693,0.02583818813186929
51207040,40s_M,0.0,0.06379958778516076,0.08445039571478885,0.02065080792962809
51574528,30s_F,0.0,0.2704021373721444,0.282538098998493,0.012135961626348613
51897472,60+_F,0.0,0.2045169989401493,0.28749711331716654,0.08298011437701724
51927168,30s_F,0.0,0.09087525139295122,0.13280144326271273,0.041926191869761514
52420864,40s_F,,0.4171359889920418,0.41237002267167716,-0.004765966320364634
52450560,40s_F,,0.38003796130651213,0.3667176396275138,-0.013320321678998326
52480256,40s_F,1.0,0.061645412436654785,0.08461580489744808,0.02297039246079329
